250 3141
1 3 1
1 4 1
1 24 1
1 31 1
1 37 1
1 38 1
1 40 1
1 48 1
1 62 1
1 64 1
1 70 1
1 78 1
1 79 1
1 85 1
1 88 1
1 89 1
1 92 1
1 101 1
1 107 1
1 162 1
1 163 1
1 166 1
1 190 1
1 200 1
1 202 1
1 213 1
1 222 1
1 232 1
1 241 1
2 16 1
2 18 1
2 26 1
2 28 1
2 35 1
2 45 1
2 48 1
2 59 1
2 60 1
2 67 1
2 68 1
2 72 1
2 84 1
2 98 1
2 104 1
2 105 1
2 117 1
2 121 1
2 122 1
2 126 1
2 130 1
2 132 1
2 134 1
2 145 1
2 155 1
2 158 1
2 172 1
2 174 1
2 176 1
2 177 1
2 183 1
2 185 1
2 186 1
2 191 1
2 200 1
2 209 1
2 210 1
2 244 1
3 7 1
3 15 1
3 17 1
3 28 1
3 33 1
3 38 1
3 44 1
3 89 1
3 120 1
3 125 1
3 127 1
3 130 1
3 164 1
3 166 1
3 175 1
3 179 1
3 193 1
3 194 1
3 200 1
3 206 1
3 213 1
3 223 1
3 236 1
3 242 1
4 9 1
4 15 1
4 20 1
4 32 1
4 34 1
4 56 1
4 61 1
4 76 1
4 111 1
4 114 1
4 136 1
4 140 1
4 143 1
4 167 1
4 174 1
4 176 1
4 178 1
4 192 1
4 211 1
4 235 1
4 236 1
4 240 1
4 243 1
5 10 1
5 11 1
5 15 1
5 19 1
5 20 1
5 22 1
5 26 1
5 48 1
5 53 1
5 56 1
5 79 1
5 90 1
5 98 1
5 102 1
5 123 1
5 126 1
5 135 1
5 139 1
5 141 1
5 151 1
5 167 1
5 171 1
5 193 1
5 196 1
5 198 1
5 209 1
5 225 1
5 232 1
5 236 1
5 238 1
5 241 1
5 245 1
6 7 1
6 34 1
6 39 1
6 45 1
6 52 1
6 101 1
6 107 1
6 143 1
6 164 1
6 173 1
6 175 1
6 205 1
6 208 1
6 233 1
6 236 1
7 32 1
7 44 1
7 48 1
7 61 1
7 87 1
7 95 1
7 97 1
7 99 1
7 104 1
7 109 1
7 110 1
7 126 1
7 128 1
7 131 1
7 141 1
7 151 1
7 153 1
7 163 1
7 166 1
7 168 1
7 174 1
7 175 1
7 190 1
7 222 1
7 226 1
7 227 1
7 231 1
7 236 1
8 9 1
8 62 1
8 74 1
8 88 1
8 89 1
8 109 1
8 133 1
8 134 1
8 143 1
8 148 1
8 156 1
8 159 1
8 190 1
8 211 1
8 219 1
8 226 1
8 229 1
8 233 1
8 237 1
9 28 1
9 30 1
9 49 1
9 52 1
9 61 1
9 70 1
9 90 1
9 93 1
9 98 1
9 137 1
9 147 1
9 155 1
9 160 1
9 165 1
9 204 1
9 208 1
9 226 1
9 236 1
9 239 1
9 245 1
9 249 1
10 31 1
10 41 1
10 45 1
10 53 1
10 60 1
10 70 1
10 71 1
10 77 1
10 81 1
10 98 1
10 99 1
10 106 1
10 119 1
10 120 1
10 136 1
10 155 1
10 167 1
10 169 1
10 175 1
10 180 1
10 187 1
10 196 1
10 221 1
10 240 1
11 15 1
11 31 1
11 41 1
11 43 1
11 59 1
11 60 1
11 74 1
11 82 1
11 89 1
11 114 1
11 120 1
11 122 1
11 123 1
11 126 1
11 130 1
11 133 1
11 145 1
11 154 1
11 155 1
11 159 1
11 168 1
11 174 1
11 177 1
11 194 1
11 197 1
11 200 1
11 207 1
11 211 1
11 217 1
11 220 1
11 237 1
11 249 1
12 27 1
12 37 1
12 40 1
12 42 1
12 43 1
12 48 1
12 59 1
12 72 1
12 73 1
12 79 1
12 87 1
12 89 1
12 93 1
12 106 1
12 127 1
12 140 1
12 153 1
12 162 1
12 164 1
12 169 1
12 171 1
12 186 1
12 189 1
12 193 1
12 198 1
12 219 1
12 223 1
12 225 1
12 238 1
12 243 1
12 244 1
12 246 1
13 42 1
13 47 1
13 64 1
13 70 1
13 79 1
13 88 1
13 103 1
13 104 1
13 109 1
13 112 1
13 113 1
13 116 1
13 126 1
13 145 1
13 161 1
13 163 1
13 165 1
13 173 1
13 198 1
13 202 1
13 203 1
13 212 1
13 213 1
13 229 1
13 235 1
13 239 1
13 245 1
14 17 1
14 25 1
14 34 1
14 37 1
14 45 1
14 58 1
14 68 1
14 72 1
14 86 1
14 103 1
14 104 1
14 110 1
14 111 1
14 114 1
14 120 1
14 122 1
14 127 1
14 144 1
14 146 1
14 169 1
14 173 1
14 179 1
14 191 1
14 194 1
14 199 1
14 220 1
14 224 1
14 226 1
14 228 1
14 236 1
14 243 1
14 244 1
14 245 1
15 17 1
15 31 1
15 34 1
15 37 1
15 53 1
15 54 1
15 89 1
15 101 1
15 119 1
15 128 1
15 148 1
15 153 1
15 161 1
15 167 1
15 176 1
15 179 1
15 200 1
15 202 1
15 203 1
15 208 1
15 218 1
15 222 1
15 246 1
15 249 1
16 26 1
16 40 1
16 48 1
16 55 1
16 61 1
16 64 1
16 67 1
16 71 1
16 73 1
16 85 1
16 86 1
16 111 1
16 112 1
16 118 1
16 125 1
16 126 1
16 140 1
16 142 1
16 156 1
16 162 1
16 166 1
16 189 1
16 211 1
16 225 1
16 226 1
16 231 1
16 249 1
17 18 1
17 30 1
17 48 1
17 51 1
17 62 1
