125 3891
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 10 1
1 11 1
1 12 1
1 13 1
1 15 1
1 16 1
1 17 1
1 18 1
1 21 1
1 22 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 32 1
1 33 1
1 36 1
1 37 1
1 38 1
1 40 1
1 45 1
1 46 1
1 47 1
1 49 1
1 54 1
1 56 1
1 57 1
1 58 1
1 59 1
1 60 1
1 61 1
1 62 1
1 67 1
1 69 1
1 71 1
1 80 1
1 81 1
1 82 1
1 83 1
1 84 1
1 91 1
1 92 1
1 93 1
1 94 1
1 95 1
1 96 1
1 97 1
1 98 1
1 99 1
1 100 1
1 101 1
1 103 1
1 104 1
1 105 1
1 106 1
1 107 1
1 108 1
1 114 1
1 116 1
1 117 1
1 120 1
1 121 1
1 122 1
1 123 1
1 124 1
2 4 1
2 5 1
2 6 1
2 7 1
2 10 1
2 11 1
2 13 1
2 14 1
2 15 1
2 18 1
2 21 1
2 23 1
2 26 1
2 27 1
2 28 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 1
2 35 1
2 37 1
2 39 1
2 40 1
2 42 1
2 44 1
2 46 1
2 49 1
2 50 1
2 54 1
2 55 1
2 56 1
2 57 1
2 58 1
2 59 1
2 60 1
2 61 1
2 62 1
2 64 1
2 66 1
2 67 1
2 68 1
2 70 1
2 72 1
2 73 1
2 74 1
2 75 1
2 76 1
2 78 1
2 79 1
2 82 1
2 89 1
2 91 1
2 94 1
2 98 1
2 100 1
2 102 1
2 104 1
2 105 1
2 111 1
2 113 1
2 114 1
2 115 1
2 116 1
2 118 1
2 123 1
2 124 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 10 1
3 13 1
3 14 1
3 17 1
3 18 1
3 24 1
3 25 1
3 28 1
3 30 1
3 32 1
3 33 1
3 34 1
3 36 1
3 37 1
3 40 1
3 41 1
3 42 1
3 43 1
3 44 1
3 45 1
3 49 1
3 50 1
3 54 1
3 57 1
3 59 1
3 60 1
3 61 1
3 64 1
3 65 1
3 66 1
3 69 1
3 71 1
3 74 1
3 78 1
3 79 1
3 80 1
3 81 1
3 82 1
3 83 1
3 84 1
3 85 1
3 87 1
3 89 1
3 91 1
3 94 1
3 97 1
3 101 1
3 105 1
3 106 1
3 107 1
3 108 1
3 110 1
3 111 1
3 112 1
3 113 1
3 114 1
3 118 1
3 119 1
3 120 1
3 121 1
3 122 1
3 124 1
4 6 1
4 10 1
4 12 1
4 14 1
4 16 1
4 17 1
4 18 1
4 21 1
4 23 1
4 24 1
4 25 1
4 27 1
4 29 1
4 30 1
4 32 1
4 34 1
4 35 1
4 39 1
4 40 1
4 41 1
4 43 1
4 45 1
4 46 1
4 47 1
4 51 1
4 52 1
4 55 1
4 56 1
4 58 1
4 60 1
4 61 1
4 63 1
4 66 1
4 67 1
4 68 1
4 71 1
4 73 1
4 76 1
4 77 1
4 79 1
4 81 1
4 85 1
4 87 1
4 90 1
4 92 1
4 93 1
4 94 1
4 96 1
4 101 1
4 103 1
4 104 1
4 105 1
4 112 1
4 113 1
4 114 1
4 115 1
4 116 1
4 117 1
4 118 1
4 121 1
4 124 1
4 125 1
5 8 1
5 9 1
5 11 1
5 12 1
5 13 1
5 15 1
5 16 1
5 17 1
5 20 1
5 24 1
5 30 1
5 31 1
5 35 1
5 41 1
5 44 1
5 47 1
5 48 1
5 51 1
5 54 1
5 55 1
5 59 1
5 61 1
5 62 1
5 65 1
5 66 1
5 67 1
5 71 1
5 76 1
5 77 1
5 78 1
5 79 1
5 84 1
5 86 1
5 87 1
5 88 1
5 91 1
5 92 1
5 93 1
5 96 1
5 98 1
5 100 1
5 101 1
5 102 1
5 103 1
5 104 1
5 106 1
5 107 1
5 109 1
5 111 1
5 112 1
5 120 1
5 125 1
6 7 1
6 10 1
6 11 1
6 17 1
6 18 1
6 19 1
6 21 1
6 23 1
6 26 1
6 28 1
6 29 1
6 34 1
6 36 1
6 37 1
6 38 1
6 42 1
6 44 1
6 46 1
6 47 1
6 48 1
6 49 1
6 51 1
6 52 1
6 53 1
6 54 1
6 55 1
6 56 1
6 58 1
6 59 1
6 60 1
6 61 1
6 65 1
6 66 1
6 67 1
6 72 1
6 75 1
6 80 1
6 81 1
6 82 1
6 84 1
6 85 1
6 89 1
6 90 1
6 91 1
6 92 1
6 95 1
6 96 1
6 98 1
6 99 1
6 100 1
6 101 1
6 103 1
6 106 1
6 110 1
6 111 1
6 112 1
6 114 1
6 116 1
6 119 1
6 120 1
6 121 1
6 123 1
6 125 1
7 10 1
7 12 1
7 14 1
7 18 1
7 19 1
7 20 1
7 21 1
7 24 1
7 25 1
7 26 1
7 31 1
7 32 1
7 35 1
7 36 1
7 37 1
7 38 1
7 39 1
7 40 1
7 43 1
7 44 1
7 45 1
7 46 1
7 47 1
7 50 1
7 51 1
7 52 1
7 57 1
7 58 1
7 59 1
7 61 1
7 63 1
7 65 1
7 67 1
7 68 1
7 72 1
7 78 1
7 79 1
7 81 1
7 82 1
7 83 1
7 86 1
7 87 1
7 92 1
7 93 1
7 94 1
7 95 1
7 96 1
7 99 1
7 100 1
7 106 1
7 110 1
7 111 1
7 113 1
7 115 1
7 118 1
7 120 1
7 121 1
7 122 1
8 10 1
8 11 1
8 12 1
8 13 1
8 14 1
8 15 1
8 16 1
8 17 1
8 18 1
8 21 1
8 24 1
8 26 1
8 29 1
8 33 1
8 35 1
8 36 1
8 38 1
8 43 1
8 45 1
8 48 1
8 50 1
8 54 1
8 56 1
8 58 1
8 59 1
8 61 1
8 64 1
8 69 1
8 72 1
8 73 1
8 74 1
8 75 1
8 76 1
8 77 1
8 78 1
8 80 1
8 82 1
8 83 1
8 84 1
8 85 1
8 86 1
8 90 1
8 95 1
8 96 1
8 99 1
8 100 1
8 101 1
8 104 1
8 105 1
8 107 1
8 109 1
8 114 1
8 116 1
8 117 1
8 118 1
8 122 1
8 125 1
9 11 1
9 12 1
9 13 1
9 16 1
9 17 1
9 21 1
9 22 1
9 23 1
9 24 1
9 25 1
9 27 1
9 32 1
9 34 1
9 35 1
9 37 1
9 38 1
9 40 1
9 46 1
9 47 1
9 49 1
9 50 1
9 51 1
9 52 1
9 54 1
9 55 1
9 56 1
9 57 1
9 59 1
9 64 1
9 65 1
9 66 1
9 67 1
9 69 1
9 71 1
9 72 1
9 73 1
9 74 1
9 75 1
9 77 1
9 78 1
9 81 1
9 82 1
9 83 1
9 84 1
9 85 1
9 86 1
9 87 1
9 88 1
9 90 1
9 96 1
9 100 1
9 106 1
9 107 1
9 108 1
9 111 1
9 117 1
9 118 1
9 119 1
9 122 1
9 123 1
10 14 1
10 15 1
10 16 1
10 17 1
10 19 1
10 21 1
10 25 1
10 26 1
10 27 1
10 28 1
10 29 1
10 30 1
10 31 1
10 33 1
10 36 1
10 37 1
10 38 1
10 40 1
10 41 1
10 44 1
10 45 1
10 48 1
10 50 1
10 58 1
10 60 1
10 64 1
10 66 1
10 67 1
10 68 1
10 71 1
10 72 1
10 74 1
10 79 1
10 81 1
10 84 1
10 85 1
10 87 1
10 88 1
10 89 1
10 91 1
10 92 1
10 94 1
10 95 1
10 96 1
10 97 1
10 101 1
10 102 1
10 103 1
10 105 1
10 108 1
10 109 1
10 110 1
10 116 1
10 117 1
10 118 1
10 119 1
10 120 1
10 121 1
10 123 1
10 125 1
11 12 1
11 13 1
11 20 1
11 22 1
11 23 1
11 25 1
11 28 1
11 30 1
11 31 1
11 32 1
11 34 1
11 37 1
11 40 1
11 41 1
11 43 1
11 45 1
11 46 1
11 48 1
11 49 1
11 52 1
11 54 1
11 55 1
11 57 1
11 58 1
11 59 1
11 61 1
11 62 1
11 67 1
11 68 1
11 71 1
11 73 1
11 75 1
11 79 1
11 82 1
11 83 1
11 85 1
11 86 1
11 87 1
11 88 1
11 89 1
11 90 1
11 91 1
11 93 1
11 99 1
11 102 1
11 103 1
11 104 1
11 105 1
11 108 1
11 112 1
11 113 1
11 114 1
11 119 1
11 122 1
11 123 1
12 13 1
12 15 1
12 17 1
12 18 1
12 20 1
12 21 1
12 24 1
12 26 1
12 30 1
12 32 1
12 33 1
12 34 1
12 36 1
12 39 1
12 41 1
12 43 1
12 45 1
12 46 1
12 48 1
12 50 1
12 51 1
12 53 1
12 54 1
12 57 1
12 59 1
12 62 1
12 63 1
12 64 1
12 65 1
12 72 1
12 74 1
12 75 1
12 76 1
12 77 1
12 79 1
12 81 1
12 85 1
12 87 1
12 89 1
12 90 1
12 92 1
12 97 1
12 98 1
12 103 1
12 104 1
12 105 1
12 108 1
12 109 1
12 112 1
12 113 1
12 116 1
12 119 1
12 121 1
12 122 1
12 123 1
12 125 1
13 15 1
13 16 1
13 17 1
13 18 1
13 20 1
13 21 1
13 22 1
13 24 1
13 25 1
13 29 1
13 33 1
13 35 1
13 36 1
13 39 1
13 41 1
13 43 1
13 47 1
13 48 1
13 50 1
13 54 1
13 59 1
13 60 1
13 63 1
13 64 1
13 65 1
13 69 1
13 70 1
13 74 1
13 75 1
13 76 1
13 78 1
13 81 1
13 83 1
13 84 1
13 85 1
13 87 1
13 88 1
13 89 1
13 93 1
13 94 1
13 98 1
13 99 1
13 100 1
13 102 1
13 103 1
13 107 1
13 108 1
13 110 1
13 112 1
13 113 1
13 115 1
13 116 1
13 117 1
13 120 1
13 121 1
13 123 1
14 20 1
14 24 1
14 29 1
14 31 1
14 35 1
14 37 1
14 38 1
14 39 1
14 40 1
14 42 1
14 43 1
14 44 1
14 46 1
14 47 1
14 48 1
14 50 1
14 51 1
14 55 1
14 57 1
14 61 1
14 64 1
14 65 1
14 66 1
14 67 1
14 70 1
14 71 1
14 72 1
14 74 1
14 75 1
14 77 1
14 78 1
14 79 1
14 84 1
14 89 1
14 90 1
14 91 1
14 93 1
14 94 1
14 95 1
14 97 1
14 98 1
14 100 1
14 104 1
14 105 1
14 109 1
14 112 1
14 114 1
14 118 1
14 119 1
14 120 1
14 121 1
14 123 1
14 124 1
14 125 1
15 17 1
15 18 1
15 19 1
15 21 1
15 22 1
15 26 1
15 29 1
15 30 1
15 31 1
15 33 1
15 36 1
15 37 1
15 41 1
15 43 1
15 47 1
15 51 1
15 52 1
15 54 1
15 55 1
15 57 1
15 59 1
15 63 1
15 65 1
15 66 1
15 67 1
15 70 1
15 74 1
15 75 1
15 77 1
15 78 1
15 81 1
15 82 1
15 83 1
15 86 1
15 89 1
15 92 1
15 93 1
15 94 1
15 98 1
15 100 1
15 103 1
15 104 1
15 105 1
15 106 1
15 109 1
15 110 1
15 114 1
15 115 1
15 117 1
15 120 1
15 122 1
15 124 1
15 125 1
16 17 1
16 19 1
16 21 1
16 22 1
16 23 1
16 24 1
16 25 1
16 26 1
16 27 1
16 29 1
16 30 1
16 31 1
16 33 1
16 34 1
16 36 1
16 37 1
16 38 1
16 39 1
16 42 1
16 45 1
16 48 1
16 51 1
16 53 1
16 54 1
16 55 1
16 57 1
16 58 1
16 59 1
16 60 1
16 65 1
16 69 1
16 73 1
16 76 1
16 80 1
16 81 1
16 83 1
16 84 1
16 85 1
16 86 1
16 87 1
16 89 1
16 91 1
16 96 1
16 99 1
16 100 1
16 101 1
16 102 1
16 105 1
16 112 1
16 115 1
16 118 1
16 119 1
16 120 1
16 122 1
16 123 1
17 20 1
17 22 1
17 23 1
17 25 1
17 26 1
17 27 1
17 29 1
17 30 1
17 32 1
17 34 1
17 35 1
17 36 1
17 39 1
17 43 1
17 47 1
17 50 1
17 56 1
17 57 1
17 58 1
17 61 1
17 62 1
17 64 1
17 65 1
17 67 1
17 68 1
17 69 1
17 73 1
17 74 1
17 75 1
17 76 1
17 77 1
17 78 1
17 79 1
17 82 1
17 84 1
17 85 1
17 90 1
17 91 1
17 93 1
17 97 1
17 98 1
17 100 1
17 102 1
17 103 1
17 104 1
17 105 1
17 106 1
17 108 1
17 109 1
17 110 1
17 111 1
17 112 1
17 114 1
17 115 1
17 116 1
17 117 1
17 118 1
17 120 1
17 124 1
18 19 1
18 20 1
18 21 1
18 22 1
18 23 1
18 25 1
18 26 1
18 27 1
18 28 1
18 30 1
18 31 1
18 32 1
18 35 1
18 36 1
18 39 1
18 43 1
18 45 1
18 46 1
18 48 1
18 50 1
18 51 1
18 54 1
18 55 1
18 57 1
18 59 1
18 60 1
18 62 1
18 64 1
18 67 1
18 72 1
18 73 1
18 74 1
18 76 1
18 77 1
18 79 1
18 81 1
18 84 1
18 85 1
18 86 1
18 87 1
18 88 1
18 89 1
18 91 1
18 92 1
18 93 1
18 94 1
18 97 1
18 99 1
18 100 1
18 101 1
18 103 1
18 104 1
18 105 1
18 106 1
18 107 1
18 112 1
18 114 1
18 116 1
18 117 1
18 119 1
18 120 1
18 121 1
18 125 1
19 20 1
19 22 1
19 23 1
19 24 1
19 26 1
19 27 1
19 31 1
19 33 1
19 34 1
19 35 1
19 37 1
19 38 1
19 39 1
19 40 1
19 41 1
19 45 1
19 49 1
19 52 1
19 53 1
19 56 1
19 59 1
19 60 1
19 61 1
19 64 1
19 65 1
19 66 1
19 69 1
19 72 1
19 73 1
19 74 1
19 79 1
19 80 1
19 81 1
19 82 1
19 83 1
19 84 1
19 87 1
19 88 1
19 90 1
19 92 1
19 93 1
19 97 1
19 98 1
19 100 1
19 101 1
19 102 1
19 103 1
19 104 1
19 107 1
19 108 1
19 112 1
19 115 1
19 116 1
19 117 1
19 119 1
19 120 1
19 121 1
19 124 1
19 125 1
20 23 1
20 24 1
20 25 1
20 26 1
20 27 1
20 30 1
20 31 1
20 34 1
20 41 1
20 42 1
20 43 1
20 44 1
20 45 1
20 47 1
20 50 1
20 51 1
20 52 1
20 56 1
20 60 1
20 62 1
20 66 1
20 67 1
20 68 1
20 69 1
20 70 1
20 75 1
20 76 1
20 79 1
20 82 1
20 83 1
20 84 1
20 87 1
20 90 1
20 92 1
20 95 1
20 100 1
20 101 1
20 102 1
20 108 1
20 110 1
20 114 1
20 115 1
20 116 1
20 117 1
20 118 1
20 120 1
20 121 1
20 124 1
20 125 1
21 22 1
21 24 1
21 26 1
21 27 1
21 29 1
21 31 1
21 33 1
21 37 1
21 38 1
21 40 1
21 41 1
21 44 1
21 45 1
21 46 1
21 47 1
21 48 1
21 51 1
21 52 1
21 53 1
21 54 1
21 55 1
21 58 1
21 60 1
21 61 1
21 62 1
21 63 1
21 64 1
21 65 1
21 66 1
21 71 1
21 74 1
21 75 1
21 78 1
21 79 1
21 81 1
21 83 1
21 85 1
21 87 1
21 88 1
21 91 1
21 93 1
21 98 1
21 100 1
21 104 1
21 110 1
21 113 1
21 114 1
21 116 1
21 118 1
21 120 1
21 122 1
21 123 1
22 23 1
22 24 1
22 25 1
22 28 1
22 29 1
22 33 1
22 34 1
22 36 1
22 37 1
22 38 1
22 41 1
22 45 1
22 47 1
22 49 1
22 50 1
22 55 1
22 56 1
22 57 1
22 58 1
22 60 1
22 61 1
22 62 1
22 63 1
22 64 1
22 65 1
22 69 1
22 73 1
22 74 1
22 76 1
22 79 1
22 85 1
22 87 1
22 90 1
22 91 1
22 95 1
22 96 1
22 97 1
22 98 1
22 99 1
22 100 1
22 102 1
22 103 1
22 104 1
22 105 1
22 108 1
22 110 1
22 111 1
22 115 1
22 116 1
22 120 1
23 24 1
23 25 1
23 26 1
23 27 1
23 28 1
23 29 1
23 30 1
23 31 1
23 35 1
23 38 1
23 43 1
23 44 1
23 45 1
23 46 1
23 47 1
23 49 1
23 51 1
23 54 1
23 55 1
23 56 1
23 58 1
23 59 1
23 61 1
23 65 1
23 66 1
23 67 1
23 68 1
23 70 1
23 71 1
23 72 1
23 73 1
23 76 1
23 78 1
23 80 1
23 82 1
23 87 1
23 88 1
23 94 1
23 96 1
23 97 1
23 98 1
23 99 1
23 103 1
23 105 1
23 106 1
23 107 1
23 110 1
23 111 1
