200 1990
1 3 1
1 13 1
1 37 1
1 81 1
1 88 1
1 96 1
1 102 1
1 103 1
1 111 1
1 112 1
1 115 1
1 117 1
1 122 1
1 126 1
1 132 1
1 150 1
1 152 1
1 157 1
1 166 1
1 180 1
2 13 1
2 25 1
2 29 1
2 37 1
2 46 1
2 57 1
2 83 1
2 84 1
2 97 1
2 115 1
2 123 1
2 132 1
2 139 1
2 166 1
2 174 1
2 180 1
2 199 1
3 9 1
3 15 1
3 16 1
3 17 1
3 38 1
3 48 1
3 61 1
3 81 1
3 115 1
3 117 1
3 138 1
3 167 1
3 174 1
3 180 1
3 184 1
3 193 1
3 195 1
4 22 1
4 27 1
4 39 1
4 40 1
4 53 1
4 55 1
4 62 1
4 80 1
4 85 1
4 92 1
4 99 1
4 123 1
4 125 1
4 134 1
4 136 1
4 161 1
4 165 1
4 172 1
4 176 1
4 182 1
4 189 1
4 191 1
4 198 1
5 9 1
5 29 1
5 36 1
5 37 1
5 44 1
5 84 1
5 87 1
5 103 1
5 116 1
5 150 1
5 180 1
5 184 1
5 197 1
6 11 1
6 15 1
6 16 1
6 44 1
6 48 1
6 52 1
6 53 1
6 61 1
6 81 1
6 102 1
6 108 1
6 138 1
6 140 1
6 147 1
6 150 1
6 157 1
6 167 1
6 187 1
6 193 1
6 197 1
7 17 1
7 29 1
7 42 1
7 44 1
7 49 1
7 52 1
7 73 1
7 75 1
7 79 1
7 101 1
7 115 1
7 118 1
7 126 1
7 127 1
7 150 1
8 36 1
8 37 1
8 42 1
8 73 1
8 79 1
8 96 1
8 112 1
8 115 1
8 118 1
8 124 1
8 126 1
8 132 1
8 133 1
8 150 1
8 154 1
8 180 1
8 184 1
8 197 1
8 199 1
9 30 1
9 31 1
9 32 1
9 77 1
9 79 1
9 119 1
9 128 1
9 140 1
9 148 1
9 155 1
9 159 1
9 160 1
9 163 1
9 164 1
9 170 1
9 171 1
9 172 1
9 189 1
9 190 1
10 11 1
10 15 1
10 16 1
10 33 1
10 37 1
10 42 1
10 43 1
10 69 1
10 96 1
10 101 1
10 110 1
10 112 1
10 114 1
10 115 1
10 125 1
10 153 1
10 154 1
10 162 1
10 167 1
10 184 1
10 187 1
10 195 1
10 200 1
11 14 1
11 17 1
11 18 1
11 30 1
11 31 1
11 41 1
11 63 1
11 82 1
11 85 1
11 86 1
11 95 1
11 97 1
11 100 1
11 106 1
11 113 1
11 117 1
11 133 1
11 134 1
11 148 1
11 175 1
11 181 1
12 23 1
12 25 1
12 26 1
12 31 1
12 58 1
12 68 1
12 87 1
12 94 1
12 106 1
12 109 1
12 117 1
12 127 1
12 134 1
12 143 1
12 144 1
12 150 1
12 163 1
12 170 1
12 176 1
12 188 1
12 193 1
13 20 1
13 26 1
13 32 1
13 45 1
13 47 1
13 54 1
13 62 1
13 64 1
13 89 1
13 91 1
13 92 1
13 100 1
13 104 1
13 112 1
13 121 1
13 131 1
13 140 1
13 151 1
13 173 1
13 183 1
13 195 1
13 198 1
14 16 1
14 29 1
14 33 1
14 52 1
14 61 1
14 71 1
14 85 1
14 125 1
14 162 1
14 167 1
14 169 1
14 183 1
15 18 1
15 19 1
15 41 1
15 51 1
15 58 1
15 59 1
15 67 1
15 86 1
15 90 1
15 91 1
15 101 1
15 124 1
15 127 1
15 128 1
15 133 1
15 134 1
15 135 1
15 141 1
15 152 1
15 177 1
15 178 1
15 191 1
15 196 1
16 19 1
16 41 1
16 50 1
16 63 1
16 64 1
16 76 1
16 83 1
16 87 1
16 89 1
16 90 1
16 91 1
16 95 1
16 106 1
16 117 1
16 130 1
16 131 1
16 133 1
16 137 1
16 141 1
16 156 1
16 157 1
16 181 1
16 191 1
16 197 1
17 19 1
17 22 1
17 30 1
17 34 1
17 40 1
17 45 1
17 53 1
17 60 1
17 78 1
17 80 1
17 87 1
17 97 1
17 106 1
17 113 1
17 114 1
17 151 1
17 159 1
17 160 1
17 171 1
18 21 1
18 24 1
18 41 1
18 94 1
18 102 1
18 125 1
18 146 1
18 157 1
18 158 1
18 186 1
18 193 1
19 21 1
19 67 1
19 92 1
19 111 1
19 115 1
19 123 1
19 150 1
19 153 1
19 180 1
19 184 1
20 48 1
20 56 1
20 61 1
20 79 1
20 105 1
