125 375 
1 2 -1
2 3 1
3 4 -1
4 5 1
5 1 1
6 7 1
7 8 -1
8 9 1
9 10 1
10 6 1
11 12 1
12 13 -1
13 14 -1
14 15 1
15 11 1
16 17 1
17 18 -1
18 19 1
19 20 -1
20 16 -1
21 22 1
22 23 1
23 24 -1
24 25 -1
25 21 1
1 6 1
2 7 1
3 8 -1
4 9 1
5 10 1
6 11 -1
7 12 1
8 13 1
9 14 -1
10 15 1
11 16 1
12 17 -1
13 18 -1
14 19 1
15 20 1
16 21 1
17 22 1
18 23 -1
19 24 -1
20 25 -1
21 1 1
22 2 1
23 3 -1
24 4 -1
25 5 1
1 26 -1
2 27 1
3 28 -1
4 29 -1
5 30 1
6 31 -1
7 32 1
8 33 -1
9 34 1
10 35 -1
11 36 -1
12 37 1
13 38 -1
14 39 1
15 40 -1
16 41 -1
17 42 -1
18 43 1
19 44 -1
20 45 1
21 46 -1
22 47 -1
23 48 1
24 49 1
25 50 -1
26 27 1
27 28 -1
28 29 -1
29 30 -1
30 26 1
31 32 -1
32 33 1
33 34 1
34 35 1
35 31 1
36 37 -1
37 38 -1
38 39 -1
39 40 1
40 36 -1
41 42 -1
42 43 1
43 44 -1
44 45 -1
45 41 1
46 47 -1
47 48 1
48 49 -1
49 50 -1
50 46 1
26 31 -1
27 32 -1
28 33 -1
29 34 -1
30 35 1
31 36 -1
32 37 1
33 38 -1
34 39 1
35 40 1
36 41 -1
37 42 1
38 43 -1
39 44 -1
40 45 -1
41 46 -1
42 47 -1
43 48 1
44 49 -1
45 50 1
46 26 1
47 27 1
48 28 1
49 29 1
50 30 1
26 51 -1
27 52 1
28 53 -1
29 54 1
30 55 -1
31 56 1
32 57 1
33 58 -1
34 59 -1
35 60 -1
36 61 -1
37 62 -1
38 63 -1
39 64 -1
40 65 -1
41 66 1
42 67 -1
43 68 1
44 69 -1
45 70 -1
46 71 -1
47 72 -1
48 73 -1
49 74 1
50 75 1
51 52 -1
52 53 1
53 54 1
54 55 -1
55 51 -1
56 57 1
57 58 1
58 59 -1
59 60 -1
60 56 1
61 62 -1
62 63 -1
63 64 -1
64 65 -1
65 61 1
66 67 1
67 68 1
68 69 1
69 70 1
70 66 1
71 72 1
72 73 -1
73 74 -1
74 75 1
75 71 1
51 56 -1
52 57 1
53 58 -1
54 59 1
55 60 -1
56 61 1
57 62 1
58 63 1
59 64 -1
60 65 1
61 66 -1
62 67 -1
63 68 1
64 69 1
65 70 1
66 71 -1
67 72 1
68 73 1
69 74 -1
70 75 1
71 51 -1
72 52 -1
73 53 1
74 54 1
75 55 1
51 76 -1
52 77 1
53 78 1
54 79 1
55 80 -1
56 81 1
57 82 1
58 83 1
59 84 -1
60 85 -1
61 86 1
62 87 1
63 88 1
64 89 -1
65 90 -1
66 91 -1
67 92 1
68 93 -1
69 94 -1
70 95 -1
71 96 1
72 97 1
73 98 -1
74 99 1
75 100 1
76 77 1
77 78 1
78 79 -1
79 80 1
80 76 1
81 82 -1
82 83 1
83 84 -1
84 85 1
85 81 -1
86 87 -1
87 88 -1
88 89 -1
89 90 -1
90 86 1
91 92 -1
92 93 -1
93 94 1
94 95 -1
95 91 1
96 97 1
97 98 1
98 99 -1
99 100 -1
100 96 -1
76 81 -1
77 82 -1
78 83 -1
79 84 1
80 85 -1
81 86 1
82 87 1
83 88 -1
84 89 1
85 90 -1
86 91 1
87 92 -1
88 93 1
89 94 1
90 95 1
91 96 1
92 97 1
93 98 -1
94 99 -1
95 100 1
96 76 -1
97 77 -1
98 78 -1
99 79 1
100 80 -1
76 101 -1
77 102 1
78 103 1
79 104 -1
80 105 -1
81 106 -1
82 107 1
83 108 1
84 109 -1
85 110 -1
86 111 1
87 112 -1
88 113 1
89 114 1
90 115 -1
91 116 1
92 117 -1
93 118 1
94 119 1
95 120 -1
96 121 1
97 122 1
98 123 1
99 124 -1
100 125 1
101 102 -1
102 103 1
103 104 -1
104 105 -1
105 101 1
106 107 -1
107 108 -1
108 109 -1
109 110 1
110 106 -1
111 112 -1
112 113 1
113 114 1
114 115 -1
115 111 1
116 117 1
117 118 1
118 119 1
119 120 -1
120 116 1
121 122 -1
122 123 -1
123 124 -1
124 125 1
125 121 -1
101 106 -1
102 107 1
103 108 1
104 109 1
105 110 1
106 111 1
107 112 1
108 113 1
109 114 -1
110 115 -1
111 116 1
112 117 -1
113 118 1
114 119 -1
115 120 -1
116 121 1
117 122 1
118 123 1
119 124 1
120 125 1
121 101 1
122 102 -1
123 103 1
124 104 -1
125 105 -1
101 1 -1
102 2 1
103 3 1
104 4 1
105 5 -1
106 6 -1
107 7 1
108 8 -1
109 9 -1
110 10 -1
111 11 1
112 12 -1
113 13 1
114 14 -1
115 15 1
116 16 1
117 17 -1
118 18 -1
119 19 -1
120 20 -1
121 21 -1
122 22 -1
123 23 1
124 24 1
125 25 -1
